Price (TL),Product Name,Ranking,Comment Count
"
16.448
","
MSI PULSE GL66 CORE İ7 11800H 2.3GHZ-8GB-512GB SSD-15.6''-RTX3050 4GB-W10
","
10
","
(1)
"
"
20.008
","
MSI KATANA GF76 CORE İ7 11800H 2.3GHZ-16GB-1TB SSD-17.3''-RTX3050TI 4GB-W10
","
10
","
(5)
"
"
18.044
","
MSI KATANA GF76 CORE İ7 11800H 2.3GHZ-16GB-512GB SSD-17.3''-RTX3050 4GB-W10
","
10
","
(1)
"
"
21.604
","
MSI GP66 LEOPARD CORE İ7 10870H 2.2GHZ-16GB-512GB SSD-15.6''-RTX3060 6GB-W10
","
0
","
(0)
"
"
3.799
","
HP 15-GW0005NT AMD ATHLON 3050U 2.3GHZ-4GB-128GB SSD-15.6""-AMD-W10
","
10
","
(2)
"
"
17.999
","
HUAWEI MATEBOOK X PRO 2021 CORE İ7 1165G7 2.8GHZ-16GB-512GB SSD-13.9""-INT-W10
","
0
","
(0)
"
"
12.599
","
HP ENVY 13-BA1009NT CORE İ7 1165G7 2.8GHZ-16GB-512GB SSD-13.3""-MX450 2GB-W10
","
0
","
(0)
"
"
10.699
","
HP ENVY X360 13-AY0005NT AMD RYZEN 7 4700U 2.0GHZ-8GB-512GB SSD-13.3""-AMD-W10
","
0
","
(0)
"
"
3.999
","
HP 15S-FQ2038NT CORE İ3 1115G4 3GHZ-4GB RAM-256GB SSD-15.6""-INT-W10
","
10
","
(1)
"
"
21.506
","
DELL XPS 13 9310 EVO CORE İ7 1165G7 2.8GHZ-16GB RAM-1TB SSD-INT-13.4""W10
","
0
","
(0)
"
"
9.799
","
HP ENVY X360 13-AY0003NT AMD RYZEN 5 4500U 2.3GHZ-8GB-512GB SSD-13.3""-AMD-W10
","
10
","
(1)
"
"
10.637
","
MSI GF63 THIN CORE İ5 10300H 2.5GHZ-8GB-512GB SSD-15.6""-GTX1650 4GB-W10
","
10
","
(3)
"
"
12.799
","
LENOVO YOGA 7 EVO CORE İ7 1165G7 2.8GHZ-8GB RAM-512GB SSD-14''-INT-W10
","
10
","
(2)
"
"
13.599
","
HP ENVY 13-BA1008NT CORE İ7 1165G7 2.8GHZ-16GB-1TB SSD-13.3""-INT-W10
","
0
","
(0)
"
"
17.599
","
MACBOOK AIR Z1241161-TQ6 M1 16GB-1TBSSD-RETİNA-13.3""-INT-SPACE GREY
","
0
","
(0)
"
"
13.199
","
MACBOOK AIR Z12418512-TQ6 M1 8GB-512GBSSD-RETİNA-13.3""-INT-SPACE GREY
","
0
","
(0)
"
"
6.890
","
ACER EXTENSA 15 CORE İ5 1035G1 1.0 GHZ-8GB-512GB SSD-15.6""-MX330 2GB-W10
","
80
","
(9)
"
"
5.330
","
HP 15-FQ2045NT CORE İ3 1115G4 3GHZ-4GB RAM-256GB SSD-15.6""-INT-W10
","
0
","
(0)
"
"
13.199
","
MACBOOK AIR Z12A18512-TQ6 M1 8GB-512GBSSD-RETİNA-13.3""-INT-GOLD
","
0
","
(0)
"
"
6.902
","
ACER SWIFT 3 CORE İ5 1035G4 1.1 GHZ-8GB-512GB SSD-13.5""-INT-W10
","
80
","
(11)
"
"
9.889
","
HP ENVY EVO 13-BA1013NT CORE İ5 1135G7 2.4GHZ-8GB-512GB SSD-13.3""-INT-W10
","
0
","
(0)
"
"
6.632
","
ACER ASPIRE 5 AMD RYZEN 5 4500U 2.3GHZ-8GB-256GB SSD-15.6""-AMD-W10
","
80
","
(18)
"
"
8.199
","
HP PROBOOK 440 G8 CORE İ5 1135G7 2.4GHZ-8GB-256GB SSD-14""-INT-W10
","
0
","
(0)
"
"
3.799
","
HP 14S-FQ0011NT AMD ATHLON 3050U 2.3GHZ-4GB-128GB SSD-14""-AMD-W10
","
80
","
(3)
"
"
9.999
","
HP ENVY 13-BA0000NT CORE İ5 1035G1 1.0GHZ-8GB-512GB SSD-13.3""-INT-W10
","
0
","
(0)
"
"
8.408
","
EVERBOOK EB-15R CORE i5 1135G7 2.4GHZ-8GB-500GB SSD-15.6""-INT-W10
","
80
","
(4)
"
"
8.171
","
EVERBOOK EB-15 CORE i5 1135G7 2.4GHZ-8GB-500GB SSD-15.6""-INT-W10
","
10
","
(3)
"
"
10.499
","
HP ENVY 13-BA1012NT CORE İ5 1135G7 2.4GHZ-8GB-512GB SSD-13.3""-MX450 2GB-W10
","
10
","
(2)
"
"
4.499
","
HP 250 G7 CORE İ3 1005G1 1.2GHZ-4GB-256GB SSD-15.6""-INT-W10
","
10
","
(1)
"
"
4.799
","
HP 14S-FQ0014NT AMD RYZEN 3 3250U 2.6GHZ-4GB-128GB SSD-14""-AMD-W10
","
80
","
(13)
"
"
14.299
","
MACBOOK AIR MWT92TU/A CORE İ7 1.2GHZ-16GB-512GBSSD-RETİNA-13""-INT-GOLD
","
10
","
(1)
"
"
17.926
","
HP OMEN 15-DH1014NT CORE İ7 10750H 2.6GHZ-16GB-512GB SSD-15.6""-RTX2060 6GB-W10
","
0
","
(0)
"
"
16.499
","
MACBOOK PRO TOUCH BAR MYDC2TU/A M1 8GB-512GBSSD-RETİNA-13""-INT-GÜMÜŞ
","
0
","
(0)
"
"
16.499
","
MACBOOK PRO TOUCH BAR MYD92TU/A M1 8GB-512GBSSD-RETİNA-13""-INT-SPACE GREY
","
10
","
(2)
"
"
13.699
","
MACBOOK AIR MGNE3TU/A M1 8GB-512GBSSD-RETİNA-13.3""-INT-GOLD
","
80
","
(48)
"
"
6.999
","
HUAWEI MATEBOOK D15I CORE İ5 10210U 1.6GHZ-8GB-256GBSSD-15""-INT-SPACEGREY
","
10
","
(15)
"
"
10.065
","
MSI MODERN 14 CORE İ7 10510U 1.8GHZ-8GB-512GB SSD-14""-MX350 2GB-W10
","
80
","
(4)
"
"
6.199
","
HP 15-DA2033NT CORE İ5 10210U 1.6GHZ-4GB-256GB SSD-15.6""-INT-W10
","
0
","
(0)
"
"
12.910
","
HP ELITEBOOK 840 CORE İ5 8365U 1.6GHZ-8GB-512GB SSD-14""-INT-W10 PRO NOTEBOOK
","
0
","
(0)
"
